"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8"
-78,9353;-17,8722;16,1182;12,7099;5,1291;-6,0939;-13,1520;-0,9623
-79,1454;-18,0600;14,9312;14,6008;7,1919;-7,1262;-12,4844;-11,7168
-78,8268;-18,0600;13,5546;16,4918;9,2547;-8,1585;-9,3689;-9,9768
-78,1772;-18,0757;12,1781;18,4003;11,3346;-9,1909;-8,2819;-3,8902
-76,9992;-17,9195;10,8187;20,1194;13,2083;-10,2393;-10,0083;-4,5783
-75,4905;-17,5755;9,2700;21,8563;15,3059;-11,1156;-9,7290;-5,2665
-73,4407;-17,2316;7,7213;23,4214;17,0250;-11,7877;-8,7783;-5,9709
-71,2585;-16,9034;6,1896;24,8148;18,7441;-12,6639;-6,6917;-6,4707
-68,3502;-16,4033;4,4518;26,0363;20,4809;-13,3681;-6,9778;-7,1751
-65,2837;-15,7313;2,9200;27,0680;22,0460;-13,8841;-5,9625;-7,7075
-61,8742;-14,8556;1,1991;28,1177;23,4392;-14,4002;-4,7261;-8,0353
-58,1218;-14,1837;-0,5384;28,9956;24,6428;-14,9322;-3,8498;-8,5676
-54,0267;-13,3399;-2,0705;29,7016;25,8643;-15,2762;-3,2444;-8,9116
-49,5746;-12,3082;-3,8079;30,2357;26,9140;-15,6361;-1,5811;-9,2556
-44,9656;-11,2765;-5,3402;30,5978;27,7918;-15,8081;-1,2869;-9,5997
-39,9995;-10,2610;-7,0773;30,7880;28,4978;-15,9960;-0,4770;-9,2962
-34,8770;-9,0574;-8,6260;30,8062;29,0318;-15,9960;0,9652;-17,3263
-29,3818;-7,8538;-10,1909;30,6524;29,3758;-16,0118;1,4023;-16,3307
-23,9020;-6,6502;-11,5674;30,3083;29,7560;-15,8399;4,8697;-10,3200
-18,2353;-5,4630;-12,9600;30,0006;29,7560;-15,6837;6,4126;-10,3200
-12,5847;-4,0711;-14,1644;29,3306;29,7923;-15,3556;3,8718;-10,3200
-6,7466;-2,8840;-15,3688;28,4704;29,4482;-14,8238;4,6978;-10,3361
-0,9085;-1,5086;-16,5891;27,6462;29,1223;-14,5117;5,9522;-9,5820
4,9464;-0,1331;-17,6372;26,4418;28,6243;-13,8079;6,4025;-16,4529
10,6131;1,2423;-18,4974;25,2553;27,9542;-13,3079;10,0270;-13,4235
16,2971;2,6345;-19,3733;23,8787;27,1120;-12,6361;7,4488;-9,3204
21,7923;3,8213;-20,0614;22,5378;26,0977;-11,7763;8,7207;-8,9764
27,3055;5,2136;-20,7808;20,8169;24,8933;-10,9165;9,2709;-8,6324
32,6475;6,4002;-21,1092;19,0960;23,7067;-10,0729;9,4086;-8,3047
37,8183;7,7927;-21,6564;17,3927;22,3479;-9,0250;9,9246;-7,7888
42,8366;8,9963;-21,8284;15,5171;20,8169;-8,1977;10,5092;-7,2891
47,4934;10,2170;-22,0315;13,4519;19,0960;-6,9778;10,3028;-6,5686
51,9980;11,2487;-21,8596;11,3866;17,3752;-5,9461;10,4577;-6,2573
56,1599;12,2804;-21,6876;9,3385;15,6718;-4,9308;10,8188;-5,5859
59,9790;13,3294;-21,5311;7,0840;13,7961;-3,7272;10,9736;-4,7097
63,4552;14,1892;-21,2028;5,0357;11,7308;-2,5237;11,4037;-3,3792
66,5883;15,0664;-20,7025;2,7983;9,6656;-1,3201;10,8876;-10,3632
