"Position (mm) Run #1"
-64,6342
-62,9420
-60,9065
-58,5276
-55,7916
-52,8981
-49,6615
-46,0676
-42,3023
-38,3803
-34,1006
-29,6495
-25,0118
-20,4053
-15,4086
-10,6154
-5,6347
-0,6539
4,3269
9,3248
14,1340
18,9609
23,6164
28,0826
32,5853
36,7268
40,6969
44,5145
47,9701
51,2734
54,2336
56,8506
59,1243
61,0350
62,8135
64,0369
65,1084
65,8561
66,0480
66,1079
65,6317
64,8112
63,6465
62,1373
60,2836
58,0853
55,5423
52,6351
49,5746
46,1501
42,5531
38,7835
34,8414
30,7266
26,4393
21,9792
17,3289
12,6960
7,8561
3,2227
-1,6001
-6,4392
-11,1055
-15,5834
-20,0769
-24,3822
-28,7181
-32,6786
-36,6689
-40,2993
-43,7572
-47,0570
-49,9976
-52,7799
-55,2173
-57,3102
-59,0584
-60,4622
-61,5217
-62,2505
-62,4360
-62,4631
-62,1462
-61,4855
-60,4810
-59,1329
-57,4276
-55,5643
-53,3717
-50,6219
-47,9148
-44,6643
-41,2423
-37,6489
-33,8989
-29,7759
-25,6682
-21,3735
-17,0947
-12,6285
-8,1623
-3,7125
0,9252
5,5799
10,0461
14,5122
18,9960
23,3084
27,4495
31,4191
35,2174
38,8442
42,3182
45,4303
48,3900
51,0064
53,2602
55,3618
57,1005
58,7065
59,7578
60,6766
61,0403
61,2517
61,1388
60,4704
59,6691
58,3121
56,8024
54,9482
52,7300
50,3395
47,7957
44,9070
41,6359
38,4020
34,8046
31,0346
27,0921
22,9591
18,8438
14,5384
10,2502
5,7724
1,2778
-3,0110
-7,5051
-11,8105
-16,1318
-20,2804
-24,2409
-28,2167
-32,0350
-35,4785
-38,9514
-42,0647
-45,0056
-47,8026
-50,0542
-52,1476
-53,8824
-55,4727
-56,5189
-57,4067
-57,9502
-58,1360
-58,1635
-57,8608
-57,0148
-56,0108
-54,6632
-52,9720
-50,9233
-48,7172
-46,1678
-43,2608
-40,1822
-36,9321
-33,5105
-29,9174
-26,1529
-22,2014
-18,2657
-14,1585
-9,8478
-5,7411
-1,4464
2,8482
7,1428
11,4547
15,5951
19,5466
23,5158
27,3137
30,9582
34,2231
37,5251
40,4466
43,4057
46,0216
48,2562
50,5482
52,2866
53,8726
55,1150
56,0136
56,5490
56,9515
56,7990
56,4939
55,8447
54,8317
53,6660
52,1558
50,2820
48,2549
45,8641
43,3010
40,5842
37,5040
34,2512
30,8260
27,2282
23,4579
19,4974
15,5368
11,5935
7,4605
3,3107
-0,6332
-4,7661
-8,9153
-12,8759
-16,8522
-20,6404
-24,4440
-28,0751
-31,5336
-34,8346
-37,7611
-40,7314
-43,1411
-45,5796
-47,6733
-49,4084
-50,9853
-52,2178
-53,0920
-53,7941
-54,3520
-54,3659
-54,2218
-53,7338
-52,9020
-51,7266
-50,1934
-48,5027
-46,4542
-44,2486
-41,6705
-39,1218
-36,2151
-33,1369
-29,8720
-26,6377
-23,0295
-19,4526
-15,5011
-11,5497
-7,5982
-3,6467
0,2881
4,4280
8,3965
12,1763
15,9562
19,7712
23,2078
26,6444
30,1172
33,2287
36,1687
38,9371
41,5338
43,9778
46,0785
47,8166
49,3830
50,8160
51,6951
52,4022
52,9760
52,9760
53,0339
52,5371
51,8682
51,0656
49,7082
48,1786
46,4957
44,4682
42,0773
39,5140
36,7783
33,8702
30,7896
27,5365
24,1110
20,4952
16,8794
13,2809
9,4927
5,7215
1,7610
-2,2161
-6,0043
-9,7925
-13,5966
-17,2124
-20,8439
-24,3027
-27,5891
-30,7031
-33,6445
-36,4284
-38,8381
-41,2916
-43,1846
-45,0921
-46,8415
-48,2466
-49,3073
-49,9954
-50,7259
-50,9261
-50,7682
-50,4525
-49,7788
-48,9474
-47,7438
-46,5975
-44,7210
-42,6582
-40,6247
-38,2331
-35,6699
-32,9350
-30,0287
-26,9660
-23,5140
-20,2803
-16,6721
-13,0639
-9,4719
-5,6757
-2,0840
1,7126
5,3039
9,1179
12,5372
16,1628
19,6170
22,8819
26,1648
29,2761
32,2158
34,9840
37,5991
39,8523
41,9338
43,8624
45,4286
46,8231
48,0647
48,9627
49,4978
49,8800
49,9183
49,5934
49,0964
48,4655
47,2611
46,0946
44,5837
42,7094
40,6629
38,4626
35,8991
33,1449
30,4089
27,5004
24,4195
21,1484
17,8949
14,4688
10,8358
7,4265
3,6214
0,0056
-3,6101
-7,2259
-10,8579
-14,3173
-17,5884
-20,8751
-23,9893
-26,9312
-29,6854
-32,4696
-34,8942
-37,1465
-39,2264
-41,1341
-42,8840
-44,2894
-45,3361
-46,2250
-46,7554
-47,1137
-47,3143
-47,1709
-46,6693
-45,9957
-45,1791
-43,8037
-42,4427
-40,9246
-39,0484
-37,0152
-34,6238
-32,0457
-29,4980
-26,5918
-23,4985
-20,4209
-17,1560
-13,9071
-10,4705
-7,0340
-3,5974
-0,1608
3,2757
6,7123
10,1660
