"Position (mm) Run #1";"Position (mm) Run #2";"Position (mm) Run #3";"Position (mm) Run #4";"Position (mm) Run #5";"Position (mm) Run #6";"Position (mm) Run #7";"Position (mm) Run #8";"Position (mm) Run #9";"Position (mm) Run #10";"Position (mm) Run #11";"Position (mm) Run #12";"Position (mm) Run #13"
-60,4096;-12,4802;0,8549;29,3576;26,3982;-15,6361;-4,7261;-9,6158;-34,3851;-13,4677;11,0080;19,0920;13,1066
-55,6142;-11,4645;-0,8659;29,8917;27,2579;-15,8240;-4,0965;-9,5291;-34,5720;-11,0774;12,7271;19,1096;12,7799
-50,6475;-10,2448;-2,6033;30,2538;28,1358;-15,8240;-0,3663;2,8553;-34,5869;-8,4832;14,4636;18,9376;12,2638
-45,5239;-9,2293;-4,1356;30,4440;28,8417;-15,8240;-2,1467;-172,1912;-34,4299;-6,0932;16,0109;18,7832;11,7477
-40,0434;-8,0257;-5,8728;30,4622;29,3758;-15,8399;-1,5520;-182,8346;-34,1008;-3,5316;17,5758;18,4391;11,2488
-34,3916;-6,8222;-7,4215;30,3083;29,7379;-15,6679;2,5590;-10,1480;-33,5999;-0,7652;18,9688;18,1127;10,5607
-28,5687;-5,6349;-8,9864;29,9824;29,9280;-15,5117;0,7766;-10,1641;-32,9420;1,8129;20,1724;17,5966;9,8897
-22,5748;-4,2431;-10,3468;29,4845;29,9280;-15,1837;1,6363;-9,0528;-31,9103;4,3910;21,3937;17,0980;9,0295
-16,3939;-3,0560;-11,9116;28,8145;29,9643;-14,6677;2,5129;-4,6431;-30,9088;6,9860;22,4431;16,4274;8,1693
-10,2291;-1,6805;-13,3041;27,9542;29,6384;-14,1518;2,9656;-185,6009;-29,5334;9,3752;23,3029;15,5671;7,3091
-3,8769;-0,3051;-14,5085;27,1300;29,1223;-13,6519;6,3301;-9,4923;-28,1732;11,9878;24,1984;14,7069;6,4658
2,4754;1,0704;-15,7288;25,9256;28,6424;-12,9640;6,5891;-9,1484;-26,6565;14,2050;24,7143;13,8641;5,4335
8,8447;2,4458;-16,7611;24,7391;27,7822;-12,2761;7,8950;-8,5287;-24,7655;16,6287;25,2482;12,8490;4,4012
15,0256;3,8381;-17,8092;23,3804;26,9400;-11,6043;8,1864;-11,6733;-22,8746;18,8809;25,5921;11,6446;3,3689
21,2418;5,0248;-18,6694;21,8317;25,9256;-10,7607;6,8651;-7,9608;-21,0148;20,9436;25,9720;10,4402;2,3366
27,0799;6,4172;-19,5453;20,3006;24,7391;-9,7128;8,8927;-7,1842;-18,7802;23,0420;25,9899;9,2358;1,3043
32,9362;7,6208;-20,2491;18,5974;23,3625;-8,8692;9,4086;-9,2921;-16,5457;24,7611;25,8179;8,0484;0,2720
38,6400;8,8244;-20,7652;16,7043;22,0037;-7,8375;9,9417;-13,9300;-14,3271;26,4803;25,6639;6,6549;-0,7603
43,9825;10,0451;-21,3124;14,8287;20,4727;-6,8222;10,3372;-5,9298;-11,9368;28,2355;25,3377;5,4843;-1,7761
49,1730;11,0768;-21,4844;12,7635;18,7519;-5,6022;10,1480;-5,0536;-9,3426;29,6291;24,8396;3,9019;-3,0135
54,0016;12,1085;-21,6564;10,6982;17,0485;-4,5869;10,3540;-3,7403;-6,9525;30,8508;24,1693;2,7311;-3,8573
58,6589;13,1575;-21,8440;8,6501;15,1555;-3,3834;8,0669;-9,9380;-4,3909;31,9008;23,3091;1,1657;-4,8896
63,1844;14,0172;-21,8751;6,3956;13,2798;-2,1632;8,1025;-13,3270;-1,6245;32,7606;22,4666;-0,2109;-5,9219
67,1758;14,8770;-21,5156;4,3473;11,2145;-1,1481;9,7869;-2,3021;0,9535;33,6570;21,4521;-1,5874;-6,9705
70,8244;15,7543;-21,3747;2,1098;9,1493;0,0554;10,0103;-1,6143;3,5316;34,2096;20,2653;-2,9640;-7,8307
74,1503;16,4596;-20,8588;-0,1276;7,1011;1,2590;9,6663;-0,9430;6,1266;34,3816;18,8888;-4,3405;-8,6909
