"Time (s) Run #1";"Position (mm) Run #1";"Time (s) Run #2";"Position (mm) Run #2";"Time (s) Run #3";"Position (mm) Run #3"
1,810;0,1720;1,810;61,0600;1,810;123,3240
1,820;0,1720;1,820;61,0600;1,820;123,3240
1,830;0,1720;1,830;61,0600;1,830;123,3240
1,840;0,1720;1,840;61,0600;1,840;123,3240
1,850;0,1720;1,850;61,0600;1,850;123,3240
1,860;0,1720;1,860;61,0600;1,860;123,3240
1,870;0,1720;1,870;61,0600;1,870;123,3240
1,880;0,1720;1,880;61,0600;1,880;123,3240
1,890;0,1720;1,890;61,0600;1,890;123,3240
1,900;0,1720;1,900;61,0465;1,900;123,3240
1,910;0,1720;1,910;61,2320;1,910;123,3240
1,920;0,1720;1,920;61,2320;1,920;123,3240
1,930;0,1825;1,930;61,2320;1,930;123,3240
1,940;0,0000;1,940;61,2320;1,940;123,3240
1,950;0,0000;1,950;61,2320;1,950;123,3240
1,960;0,0000;1,960;61,2320;1,960;123,3240
1,970;0,0000;1,970;61,2320;1,970;123,3240
1,980;0,0000;1,980;61,2320;1,980;123,3240
1,990;0,0000;1,990;61,2320;1,990;123,3240
2,000;0,0000;2,000;61,2320;2,000;123,3240
2,010;0,0000;2,010;61,2320;2,010;123,3240
2,020;0,0000;2,020;61,2320;2,020;123,3240
2,030;0,0000;2,030;61,2320;2,030;123,3240
2,040;0,0000;2,040;61,2320;2,040;123,3240
2,050;0,0000;2,050;61,2320;2,050;123,3240
2,060;0,0000;2,060;61,2320;2,060;123,3240
2,070;0,0000;2,070;61,2320;2,070;123,3240
2,080;0,0000;2,080;61,2320;2,080;123,3240
2,090;0,0000;2,090;61,2320;2,090;123,3240
2,100;0,0000;2,100;61,2320;2,100;123,3240
2,110;0,0000;2,110;61,2320;2,110;123,3240
2,120;0,0000;2,120;61,2184;2,120;123,3240
2,130;0,0000;2,130;61,4040;2,130;123,3240
2,140;0,0000;2,140;61,4040;2,140;123,3240
2,150;0,0105;2,150;61,4040;2,150;123,3240
2,160;-0,1720;2,160;61,4040;2,160;123,3240
2,170;-0,1720;2,170;61,4040;2,170;123,3240
2,180;-0,1720;2,180;61,4040;2,180;123,3240
2,190;-0,1825;2,190;61,4040;2,190;123,3240
2,200;0,0105;2,200;61,4040;2,200;123,3240
2,210;-0,1720;2,210;61,4040;2,210;123,3240
2,220;-0,1825;2,220;61,4040;2,220;123,3240
2,230;0,0000;2,230;61,4040;2,230;123,3240
2,240;0,0000;2,240;61,4040;2,240;123,3240
2,250;0,0000;2,250;61,4176;2,250;123,3240
2,260;0,0000;2,260;61,2320;2,260;123,3240
2,270;0,0000;2,270;61,2320;2,270;123,3240
2,280;0,0000;2,280;61,2320;2,280;123,3240
2,290;0,0000;2,290;61,2320;2,290;123,3240
2,300;0,0000;2,300;61,2320;2,300;123,3240
2,310;0,0000;2,310;61,2320;2,310;123,3240
2,320;0,0000;2,320;61,2320;2,320;123,3240
2,330;0,0000;2,330;61,2320;2,330;123,3240
2,340;0,0000;2,340;61,2320;2,340;123,3240
2,350;0,0000;2,350;61,2320;2,350;123,3240
2,360;0,0000;2,360;61,2320;2,360;123,3240
2,370;-0,0105;2,370;61,2320;2,370;123,3240
2,380;0,1720;2,380;61,2320;2,380;123,3240
2,390;0,1720;2,390;61,2320;2,390;123,3240
2,400;0,1720;2,400;61,2320;2,400;123,3240
2,410;0,1720;2,410;61,2456;2,410;123,3240
2,420;0,1720;2,420;61,0600;2,420;123,3240
2,430;0,1720;2,430;61,0600;2,430;123,3240
2,440;0,1720;2,440;61,0600;2,440;123,3240
2,450;0,1720;2,450;61,0600;2,450;123,3240
2,460;0,1720;2,460;61,0600;2,460;123,3240
2,470;0,1720;2,470;61,0600;2,470;123,3240
2,480;0,1615;2,480;61,0600;2,480;123,3240
2,490;0,3440;2,490;61,0600;2,490;123,3240
2,500;0,3440;2,500;61,0600;2,500;123,3240
2,510;0,3440;2,510;61,0600;2,510;123,3240
2,520;0,3440;2,520;61,0600;2,520;123,3240
2,530;0,3440;2,530;61,0600;2,530;123,3240
2,540;0,3440;2,540;61,0600;2,540;123,3240
2,550;0,3440;2,550;61,0600;2,550;123,3240
2,560;0,3440;2,560;61,0735;2,560;123,3240
2,570;0,3440;2,570;60,8880;2,570;123,3240
2,580;0,3440;2,580;60,8880;2,580;123,3240
2,590;0,3440;2,590;60,8880;2,590;123,3240
2,600;0,3440;2,600;60,8880;2,600;123,3240
2,610;0,3440;2,610;60,8880;2,610;123,3240
2,620;0,3440;2,620;60,8880;2,620;123,3240
2,630;0,3440;2,630;60,8880;2,630;123,3240
2,640;0,3440;2,640;60,8880;2,640;123,3240
2,650;0,3440;2,650;60,8880;2,650;123,3240
2,660;0,3440;2,660;60,8880;2,660;123,3240
2,670;0,3440;2,670;60,8880;2,670;123,3240
2,680;0,3440;2,680;60,8880;2,680;123,3240
