"Position (mm) Run #1";"Position (mm) Run #2"
-14,7783;-11,1202
-14,9503;-11,6761
-15,1223;-11,8481
-15,3080;-12,0400
-15,3080;-12,0201
-15,3080;-12,2120
-15,3217;-12,2319
-15,1497;-12,0599
-14,9777;-11,9078
-14,8057;-11,5837
-14,6474;-11,0678
-14,3035;-10,5519
-13,9595;-9,9960
-13,6293;-9,8640
-13,0996;-9,3481
-12,7695;-8,8522
-12,2674;-8,1643
-11,5656;-7,4765
-11,0636;-6,8088
-10,3758;-5,9086
-9,6879;-5,4331
-9,0000;-4,5733
-8,3122;-3,7135
-7,6384;-2,8538
-6,7645;-2,0144
-6,0908;-0,9622
-5,2310;-0,1024
-4,3712;0,7573
-3,5114;1,5966
-2,6516;2,6489
-1,7918;3,5087
-0,9320;4,3891
-0,0723;5,0563
0,7875;5,9368
1,6473;6,6247
2,5071;7,3126
3,3815;8,0004
4,0547;8,7092
4,9145;9,2251
5,7890;9,7620
6,4769;10,1060
7,1499;10,4500
8,0246;10,8150
8,7273;10,9659
9,2283;11,3520
9,9162;11,3520
10,6190;11,3520
11,1350;11,3520
11,6659;11,3731
11,9948;11,2221
12,5258;10,8570
12,8698;10,7271
13,2138;10,1900
13,5729;9,8670
13,7449;9,3509
13,9168;8,8348
14,0888;8,3396
14,2760;7,6515
14,2760;6,9634
14,2760;6,2752
14,2912;5,5871
14,1040;4,9197
14,1343;4,0595
13,7751;3,1993
13,6183;2,3391
13,2742;1,4788
12,9302;0,6186
12,5862;-0,2211
12,2572;-1,2738
11,7411;-2,1341
11,2251;-2,9943
10,7090;-3,8748
10,2079;-4,5629
9,5197;-5,2511
8,8316;-5,9392
8,1435;-6,6274
7,4553;-7,3155
6,7820;-8,0237
5,9070;-8,5398
5,2336;-9,0759
4,3587;-9,4200
3,6852;-9,7840
2,8250;-9,9760
1,9648;-9,9560
1,1046;-10,1080
0,2443;-10,4720
-0,6159;-10,6840
-1,4761;-10,4720
-2,3506;-10,6840
-3,0245;-10,5120
-3,8847;-10,3400
-4,7449;-10,2479
-5,6193;-9,2479
-6,3074;-9,6320
-6,9815;-9,6520
-7,8557;-9,5201
-8,5439;-8,9841
-9,2460;-8,6602
-9,7481;-8,1643
-10,4502;-7,4765
-10,9663;-6,7685
-11,4824;-6,2727
-11,9984;-5,5849
-12,5283;-4,8970
-12,8724;-4,2294
-13,2164;-3,3696
-13,5604;-2,4895
-13,9182;-1,8220
-14,0902;-0,9622
-14,2623;-0,1024
-14,4343;0,7573
-14,6200;1,6171
-14,6200;2,4975
-14,6200;3,1647
-14,6337;4,0452
-14,4617;4,7331
-14,2897;5,4209
-14,1315;6,1088
-13,7738;6,8175
-13,6156;7,3334
-13,2716;7,8493
-12,9414;8,3653
-12,4255;8,9021
-11,9096;9,2461
-11,3937;9,5901
-10,8777;9,9550
-10,3758;10,1270
-9,6739;10,3200
-9,1720;10,2990
-8,4841;10,5130
-7,7963;10,3200
-7,1225;10,3410
-6,2486;10,1900
-5,5749;9,8250
-4,7009;9,6740
-4,0273;9,3509
-3,1675;8,8139
-2,2934;8,4908
-1,6199;7,9747
-0,7601;7,4586
0,0997;6,9634
0,9740;6,2752
1,6473;5,5871
2,5071;4,8990
3,3815;4,2315
4,0547;3,3506
4,9292;2,6831
5,6171;1,8229
6,3049;0,9422
6,9928;0,2745
7,6806;-0,6061
8,3685;-1,2738
9,0713;-2,1341
9,5872;-3,0146
10,1031;-3,7028
10,6190;-4,3909
11,1350;-5,0993
11,6659;-5,5951
12,0099;-6,3035
12,3539;-6,7994
12,7129;-7,5076
12,8698;-8,0237
13,2289;-8,5599
13,4009;-8,9039
13,5880;-9,2479
13,5880;-9,6120
13,5880;-9,7840
13,5880;-9,9560
13,6031;-10,1480
13,4311;-10,1280
13,2591;-10,3400
13,0871;-10,1480
12,9302;-10,1680
12,5862;-9,9960
12,2421;-9,8240
11,8981;-9,6720
11,5691;-9,3281
11,0530;-8,9841
10,5370;-8,6401
10,0209;-8,3162
9,5197;-7,8204
8,8167;-7,1124
8,3155;-6,5965
7,6274;-6,1008
6,9392;-5,3927
6,2511;-4,8970
5,5777;-4,2091
4,7028;-3,5213
4,0146;-2,8538
3,3411;-1,9940
2,4809;-1,1138
1,6061;-0,4464
0,9325;0,4339
0,0723;1,1013
-0,8023;1,9816
-1,4761;2,6695
-2,3506;3,3574
-3,0245;4,0452
-3,8990;4,7331
-4,5729;5,4417
-5,4473;5,9576
-6,1354;6,4735
-6,8235;6,9895
-7,5117;7,5054
-8,1998;8,0422
-8,9020;8,3862
-9,4041;8,7301
-10,1061;9,0951
-10,6222;9,2670
-11,1522;9,4390
-11,4824;9,6320
-12,0123;9,6320
-12,3563;9,6530
-12,7004;9,4600
-13,0582;9,4810
-13,2164;9,3299
-13,5742;8,9649
-13,7600;8,8139
-13,7462;8,4908
-13,9320;7,9538
-13,9320;7,6306
-13,9320;7,1145
