"Position (mm) Run #2";"Position (mm) Run #3"
-168,3251;-187,5381
-169,1979;-186,7016
-169,8985;-185,5214
-170,4395;-183,9977
-170,6240;-182,1305
-170,6489;-179,9199
-170,3174;-177,3540
-169,8140;-174,6165
-169,1512;-171,7197
-168,1321;-168,4674
-166,9538;-165,0435
-165,4065;-161,4611
-163,8848;-157,5097
-162,0067;-153,5715
-159,9569;-149,4620
-157,7224;-145,1674
-155,5010;-140,8867
-153,1214;-136,4205
-150,3716;-131,9543
-147,6218;-127,4881
-144,8857;-123,0219
-141,9781;-118,5406
-138,8849;-114,2460
-135,7917;-109,9359
-132,6984;-105,7972
-129,6052;-101,8457
-126,5120;-97,8621
-123,4040;-94,2539
-120,4974;-90,6128
-117,3740;-87,3479
-114,6394;-84,1333
-111,6871;-80,2686
-109,1091;-77,2787
-106,5153;-75,0097
-104,0932;-73,1014
-101,8587;-71,3300
-99,5921;-70,0914
-97,7012;-69,2141
-95,7778;-68,4736
-94,2143;-68,2664
-92,8061;-68,4209
-91,7744;-68,7122
-90,7098;-69,5549
-89,9890;-70,5523
-89,6450;-71,8940
-89,2515;-73,5802
-89,4235;-75,6110
-89,5625;-78,0036
-90,0620;-80,5516
-90,7337;-83,4612
-91,5775;-86,5100
-92,5771;-90,0102
-93,9373;-94,8981
-95,4698;-99,0471
-97,1745;-102,9918
-99,0515;-107,1247
-101,0849;-111,2422
-103,4945;-115,5476
-105,9042;-119,8380
-108,2827;-124,3306
-111,0369;-128,6360
-113,7912;-132,9270
-116,5302;-137,4190
-119,4567;-141,7243
-122,3832;-146,0434
-125,2949;-150,1764
-128,4083;-154,3359
-131,3348;-158,1241
-134,2470;-161,9252
-137,3740;-165,5664
-140,1142;-168,8501
-143,0546;-171,9737
-145,8088;-174,7402
-148,5901;-177,3464
-150,9998;-179,5958
-153,4228;-181,6849
-155,6735;-183,4294
-157,7387;-184,8295
-159,8300;-185,8735
-161,5638;-186,7687
-163,1253;-187,1244
-164,5146;-187,3313
-165,7445;-187,0106
-166,6047;-186,3344
-167,4901;-185,4980
-168,0314;-184,3298
-168,2034;-182,6225
-168,4006;-180,7435
-168,2537;-178,7169
-167,7504;-176,1510
-167,0752;-173,4135
-166,2281;-170,5044
-165,2219;-167,4364
-163,8464;-164,0126
-162,4967;-160,4174
-160,7905;-156,6507
-158,8995;-152,7126
-157,0217;-148,6031
-154,9854;-144,2947
-152,5791;-140,1995
-150,1862;-135,7192
-147,6082;-131,4389
-145,0438;-126,9727
-142,3079;-122,4917
-139,3864;-118,2121
-136,4649;-113,7459
-133,5434;-109,3263
-130,6218;-104,2982
-127,7149;-99,7681
-124,6070;-95,9721
-121,6854;-92,3311
-118,7790;-89,0662
-115,7161;-85,7680
-112,2488;-82,8296
-109,1091;-80,0459
-106,5153;-77,6053
-104,0932;-75,5082
-101,8587;-73,7717
-99,5921;-72,1897
-97,6851;-70,9512
-95,9498;-70,0565
-94,3862;-69,5055
-92,9944;-69,2985
-91,7580;-69,4354
-90,8653;-69,9340
-90,2670;-70,5872
-90,6275;-71,5847
-90,7995;-72,9265
-90,9551;-74,6129
-91,2991;-76,6438
-91,6268;-79,0364
-92,1101;-81,5845
-92,9703;-84,4942
-93,7979;-87,5763
-94,9861;-90,8145
-96,3464;-94,3977
-97,8629;-98,2778
-99,7559;-103,1323
-101,6331;-107,6257
-103,6825;-111,9311
-105,9042;-116,2365
-108,3139;-120,5269
-110,7081;-125,0195
-113,2747;-129,3248
-116,0441;-133,6302
-118,6110;-137,9356
-121,3503;-142,2410
-124,2916;-146,5737
-127,0311;-150,5343
-129,9576;-154,5081
-132,8984;-158,3094
-135,6526;-161,9381
-138,4068;-165,3943
-141,1610;-168,6905
-143,9429;-171,6294
-146,3526;-174,3959
-148,7622;-177,0021
-151,1854;-179,2637
-153,4495;-181,1687
-155,3425;-182,9132
-157,2356;-184,3133
-159,1547;-185,3691
-160,7163;-186,0806
-162,1058;-186,4480
-163,3230;-186,4713
-164,3809;-186,1507
-165,0690;-185,4746
-165,7826;-184,6501
-166,1393;-183,2865
-166,3367;-181,7629
-166,1647;-179,8960
-166,0181;-177,6735
-165,5276;-175,2916
-164,6678;-172,5542
-163,8208;-169,6452
-162,8148;-166,5773
-161,4394;-163,1535
-160,0899;-159,5583
-158,3838;-155,8049
-156,4928;-151,6684
-154,6284;-147,7441
-152,3938;-143,4357
-150,1728;-139,3267
-147,7801;-135,0320
-145,2020;-130,7374
-142,6239;-126,4428
-140,0598;-122,1481
-137,3100;-117,8535
-134,5602;-113,5589
-131,8104;-109,2642
-129,0606;-105,0482
-126,3108;-99,7681
-123,5610;-95,9559
-120,8112;-92,5193
-118,0464;-89,0497
-115,4683;-85,9231
-112,8749;-83,1565
-110,4995;-80,5445
-107,7341;-78,2929
-105,1875;-76,1958
-102,2025;-74,4422
-99,9200;-73,0494
-98,1848;-71,7936
-96,6213;-71,0883
-95,2296;-70,5375
-93,9935;-70,3480
-93,1337;-70,2956
-92,2411;-70,7767
-91,7088;-71,6195
-91,3484;-72,5997
-91,1600;-74,1311
-91,1436;-75,8176
-91,2991;-77,8657
-91,6104;-80,0692
-92,2821;-82,6174
-93,1260;-85,5271
-94,1420;-88,6093
-95,3302;-91,8640
-96,6744;-95,2750
-98,3953;-99,0631
-100,1001;-102,7878
-101,9773;-107,2187
-104,0425;-112,2755
-106,0764;-116,5809
-108,4860;-120,8713
